flow_id,pair_id,template_id,split,language,scenario,risk_type,label,changed_factor,currency,base_price,final_price,fee_name,fee_amount,fee_first_step,addon_name,addon_price,addon_default_selected,trial_days,renewal_price,billing_interval,renewal_first_step,auto_renewal,total_steps,data_origin
d04_airline_01_hidden_fee_n,d04_airline_01_hidden_fee,airline_01,train,en,Flight booking,hidden_fee,normal,fee_disclosure_timing,USD,399.0,459.0,Carrier service fee,60.0,1,,0.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_airline_01_hidden_fee_r,d04_airline_01_hidden_fee,airline_01,train,en,Flight booking,hidden_fee,hidden_fee,fee_disclosure_timing,USD,399.0,459.0,Carrier service fee,60.0,4,,0.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_airline_01_preselected_addon_n,d04_airline_01_preselected_addon,airline_01,train,en,Flight booking,preselected_addon,normal,default_selection,USD,399.0,399.0,,0.0,0,Travel protection,24.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_airline_01_preselected_addon_r,d04_airline_01_preselected_addon,airline_01,train,en,Flight booking,preselected_addon,preselected_addon,default_selection,USD,399.0,423.0,,0.0,0,Travel protection,24.0,True,0,0.0,none,0,False,4,synthetic_controlled
d04_airline_01_trial_to_paid_n,d04_airline_01_trial_to_paid,airline_01,train,en,Flight booking,trial_to_paid,normal,renewal_disclosure_timing,USD,0.0,0.0,,0.0,0,,0.0,False,7,14.99,month,1,True,4,synthetic_controlled
d04_airline_01_trial_to_paid_r,d04_airline_01_trial_to_paid,airline_01,train,en,Flight booking,trial_to_paid,trial_to_paid,renewal_disclosure_timing,USD,0.0,0.0,,0.0,0,,0.0,False,7,14.99,month,4,True,4,synthetic_controlled
d04_hotel_01_hidden_fee_n,d04_hotel_01_hidden_fee,hotel_01,train,en,Hotel booking,hidden_fee,normal,fee_disclosure_timing,USD,520.0,568.0,Resort fee,48.0,1,,0.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_hotel_01_hidden_fee_r,d04_hotel_01_hidden_fee,hotel_01,train,en,Hotel booking,hidden_fee,hidden_fee,fee_disclosure_timing,USD,520.0,568.0,Resort fee,48.0,4,,0.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_hotel_01_preselected_addon_n,d04_hotel_01_preselected_addon,hotel_01,train,en,Hotel booking,preselected_addon,normal,default_selection,USD,520.0,520.0,,0.0,0,Flexible cancellation,35.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_hotel_01_preselected_addon_r,d04_hotel_01_preselected_addon,hotel_01,train,en,Hotel booking,preselected_addon,preselected_addon,default_selection,USD,520.0,555.0,,0.0,0,Flexible cancellation,35.0,True,0,0.0,none,0,False,4,synthetic_controlled
d04_hotel_01_trial_to_paid_n,d04_hotel_01_trial_to_paid,hotel_01,train,en,Hotel booking,trial_to_paid,normal,renewal_disclosure_timing,USD,0.0,0.0,,0.0,0,,0.0,False,14,19.99,month,1,True,4,synthetic_controlled
d04_hotel_01_trial_to_paid_r,d04_hotel_01_trial_to_paid,hotel_01,train,en,Hotel booking,trial_to_paid,trial_to_paid,renewal_disclosure_timing,USD,0.0,0.0,,0.0,0,,0.0,False,14,19.99,month,4,True,4,synthetic_controlled
d04_retail_01_hidden_fee_n,d04_retail_01_hidden_fee,retail_01,train,zh,电子产品购买,hidden_fee,normal,fee_disclosure_timing,CNY,899.0,928.0,订单处理费,29.0,1,,0.0,False,0,0.0,none,0,False,4,synthetic_controlled
