flow_id,pair_id,template_id,language,scenario,label,severity,total_steps,initial_price,final_price,added_fee,addon_selected,addon_price,auto_renewal,trial_days,renewal_price,billing_interval,first_disclosure_step,evidence_text,changed_factor,annotator_1,annotator_2,adjudicated_label,notes
ff_d02_001_n,pair_001,travel_air_01,en,Domestic flight booking,normal,none,3,459.00,459.00,0.00,false,0.00,false,0,0.00,none,1,"Total price $459 including carrier fee",fee_disclosure,normal,normal,normal,Mandatory carrier fee is included at the first decision point
ff_d02_001_r,pair_001,travel_air_01,en,Domestic flight booking,hidden_fee,medium,3,399.00,459.00,60.00,false,0.00,false,0,0.00,none,3,"Carrier service fee $60",fee_disclosure,hidden_fee,hidden_fee,hidden_fee,Mandatory fee first appears on the final review step
ff_d02_002_n,pair_002,event_ticket_01,zh,演唱会门票,normal,none,3,198.00,198.00,0.00,false,0.00,false,0,0.00,none,1,"票价含18元平台服务费",fee_disclosure,normal,normal,normal,服务费在选择门票时已计入总价
ff_d02_002_r,pair_002,event_ticket_01,zh,演唱会门票,hidden_fee,medium,3,180.00,198.00,18.00,false,0.00,false,0,0.00,none,3,"平台服务费 ¥18",fee_disclosure,hidden_fee,hidden_fee,hidden_fee,服务费仅在付款确认页出现
ff_d02_003_n,pair_003,hotel_room_01,en,Hotel room reservation,normal,none,4,568.00,568.00,0.00,false,0.00,false,0,0.00,none,1,"Total $568 including mandatory resort fee",fee_disclosure,normal,normal,normal,Resort fee is included in the first displayed total
ff_d02_003_r,pair_003,hotel_room_01,en,Hotel room reservation,hidden_fee,medium,4,520.00,568.00,48.00,false,0.00,false,0,0.00,none,4,"Resort fee $48",fee_disclosure,hidden_fee,hidden_fee,hidden_fee,Resort fee appears only immediately before payment
ff_d02_004_n,pair_004,food_delivery_01,zh,外卖订单,normal,none,3,43.00,43.00,0.00,false,0.00,false,0,0.00,none,1,"合计¥43，已含包装费¥5",fee_disclosure,normal,normal,normal,包装费在商品选择页清楚披露
ff_d02_004_r,pair_004,food_delivery_01,zh,外卖订单,hidden_fee,medium,3,38.00,43.00,5.00,false,0.00,false,0,0.00,none,3,"包装服务费 ¥5",fee_disclosure,hidden_fee,hidden_fee,hidden_fee,不可取消的包装费在最后一步加入
ff_d02_005_n,pair_005,online_course_01,en,Online course purchase,normal,none,3,108.90,108.90,0.00,false,0.00,false,0,0.00,none,1,"Total $108.90 including $9.90 processing fee",fee_disclosure,normal,normal,normal,Processing fee is visible in the initial total
ff_d02_005_r,pair_005,online_course_01,en,Online course purchase,hidden_fee,medium,3,99.00,108.90,9.90,false,0.00,false,0,0.00,none,3,"Processing fee $9.90",fee_disclosure,hidden_fee,hidden_fee,hidden_fee,Mandatory processing fee is delayed until checkout
ff_d02_006_n,pair_006,electronics_01,zh,耳机购买,normal,none,3,899.00,899.00,0.00,false,69.00,false,0,0.00,none,2,"两年延保 ¥69（可选）",default_selection,normal,normal,normal,付费延保默认未选择
ff_d02_006_r,pair_006,electronics_01,zh,耳机购买,preselected_addon,medium,3,899.00,968.00,0.00,true,69.00,false,0,0.00,none,2,"已选择：两年延保 ¥69",default_selection,preselected_addon,preselected_addon,preselected_addon,可选延保未经用户操作已被选择
ff_d02_007_n,pair_007,rail_ticket_01,en,Train ticket booking,normal,none,3,240.00,240.00,0.00,false,10.00,false,0,0.00,none,2,"Travel insurance $10 optional",default_selection,normal,normal,normal,Insurance is available but unchecked
ff_d02_007_r,pair_007,rail_ticket_01,en,Train ticket booking,preselected_addon,medium,3,240.00,250.00,0.00,true,10.00,false,0,0.00,none,2,"Travel insurance $10 selected",default_selection,preselected_addon,preselected_addon,preselected_addon,Paid insurance is checked by default
ff_d02_008_n,pair_008,flower_shop_01,zh,鲜花配送,normal,none,3,129.00,129.00,0.00,false,19.00,false,0,0.00,none,2,"鲜花会员 ¥19（未选择）",default_selection,normal,normal,normal,会员是明确且未勾选的可选项
ff_d02_008_r,pair_008,flower_shop_01,zh,鲜花配送,preselected_addon,medium,3,129.00,148.00,0.00,true,19.00,false,0,0.00,none,2,"已加入鲜花会员 ¥19",default_selection,preselected_addon,preselected_addon,preselected_addon,可选会员默认加入订单
ff_d02_009_n,pair_009,car_rental_01,en,Car rental,normal,none,4,260.00,260.00,0.00,false,45.00,false,0,0.00,none,3,"Premium coverage $45 optional",default_selection,normal,normal,normal,Optional coverage requires affirmative selection
ff_d02_009_r,pair_009,car_rental_01,en,Car rental,preselected_addon,medium,4,260.00,305.00,0.00,true,45.00,false,0,0.00,none,3,"Premium coverage $45 included",default_selection,preselected_addon,preselected_addon,preselected_addon,Optional coverage is selected automatically
ff_d02_010_n,pair_010,gym_signup_01,zh,健身房入会,normal,none,3,199.00,199.00,0.00,false,39.00,false,0,0.00,none,2,"新会员礼包 ¥39（可选）",default_selection,normal,normal,normal,礼包默认关闭
ff_d02_010_r,pair_010,gym_signup_01,zh,健身房入会,preselected_addon,medium,3,199.00,238.00,0.00,true,39.00,false,0,0.00,none,2,"新会员礼包 ¥39 已选择",default_selection,preselected_addon,preselected_addon,preselected_addon,付费礼包默认开启
ff_d02_011_n,pair_011,music_app_01,en,Music app trial,normal,none,3,0.00,0.00,0.00,false,0.00,false,7,15.99,month,1,"7-day trial; subscription is optional and unchecked",renewal_consent,normal,normal,normal,Recurring plan is clearly disclosed and not selected
ff_d02_011_r,pair_011,music_app_01,en,Music app trial,trial_to_paid,high,3,0.00,0.00,0.00,false,0.00,true,7,15.99,month,3,"Then $15.99/month until cancelled",renewal_consent,trial_to_paid,trial_to_paid,trial_to_paid,Automatic monthly renewal is disclosed only on final confirmation
ff_d02_012_n,pair_012,cloud_storage_01,zh,云存储试用,normal,none,3,0.00,0.00,0.00,false,0.00,false,14,29.90,month,1,"14天免费试用；续费选项默认关闭",renewal_consent,normal,normal,normal,续费价格提前展示且需要主动选择
ff_d02_012_r,pair_012,cloud_storage_01,zh,云存储试用,trial_to_paid,high,3,0.00,0.00,0.00,false,0.00,true,14,29.90,month,3,"试用结束后自动按¥29.90/月续费",renewal_consent,trial_to_paid,trial_to_paid,trial_to_paid,自动续费仅在最后一步披露
ff_d02_013_n,pair_013,language_app_01,en,Language learning trial,normal,none,3,0.00,0.00,0.00,false,0.00,false,7,399.00,year,1,"7-day trial; annual plan $399 requires opt-in",renewal_consent,normal,normal,normal,Annual subscription requires affirmative opt-in
ff_d02_013_r,pair_013,language_app_01,en,Language learning trial,trial_to_paid,high,3,0.00,0.00,0.00,false,0.00,true,7,399.00,year,3,"After trial: $399 billed annually",renewal_consent,trial_to_paid,trial_to_paid,trial_to_paid,High annual charge renews automatically after delayed disclosure
ff_d02_014_n,pair_014,vpn_app_01,zh,VPN服务试用,normal,none,3,0.00,0.00,0.00,false,0.00,false,3,78.00,month,1,"3天试用；月费¥78，默认不续订",renewal_consent,normal,normal,normal,续费条件在开始试用前清楚展示
ff_d02_014_r,pair_014,vpn_app_01,zh,VPN服务试用,trial_to_paid,high,3,0.00,0.00,0.00,false,0.00,true,3,78.00,month,3,"3天后自动续费，每月¥78",renewal_consent,trial_to_paid,trial_to_paid,trial_to_paid,自动月费仅在确认页说明
ff_d02_015_n,pair_015,fitness_app_01,en,Fitness app trial,normal,none,3,0.00,0.00,0.00,false,0.00,false,30,159.00,year,1,"30-day free trial; $159/year plan is not selected",renewal_consent,normal,normal,normal,Trial does not create a subscription without opt-in
ff_d02_015_r,pair_015,fitness_app_01,en,Fitness app trial,trial_to_paid,high,3,0.00,0.00,0.00,false,0.00,true,30,159.00,year,3,"Renews automatically at $159/year",renewal_consent,trial_to_paid,trial_to_paid,trial_to_paid,Automatic annual renewal appears only at the final step

